col_name,feature_importance_vals
seller_id,1.410637027124472
listing_type_id,1.1679328520989922
category_id,0.6855397653560833
available_quantity,0.4096174951726922
pic_max_size,0.24145684429960448
sold_quantity,0.23646493224814705
pic_num_items,0.22428251755388875
nmp_qty,0.1898734445345592
pic_min_size,0.12567518008719478
tag_good_qt,0.11125456681727207
days_since_update,0.10661520911420241
pic_num_sizes,0.10376027017673721
shippingmode,0.06829933325683153
price,0.05909083751061934
automatic_relist,0.02776208543310031
nmp_tc,0.023928737210253705
initial_quantity,0.021758692349073988
shippingfree_shipping,0.014022396706544071
days_elapsed,0.013296779019175607
buying_mode,0.012336156559122171
accepts_mercadopago,0.008042052877363353
category_id_cnt,0.007298193264692148
nmp_transf,0.0050501038052538656
video_id,0.004724734880512551
nmp_buyer,0.004588644903999847
seller_addressstate_name,0.0022766897410855503
shippinglocal_pick_up,0.0014477905125602297
warranty,0.0006484051622875644
seller_id_cnt,0.00038642836065461465
seller_addresscity_id,0.0
nmp_cash,0.0
nmp_giro_postal,0.0
tag_dragg_bv,0.0
status,0.0
wknd_hlday_created,0.0
wknd_hlday_start_time,0.0
wknd_hlday_stop_time,0.0
seller_addressstate_id,0.0
currency_id,0.0
